Region,Comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,Tasa
Los Lagos,Puyehue,11787,-,-,-,-,-,17.0
Los Lagos,Queilen,5543,-,-,-,-,-,0.0
Los Lagos,Quellon,29309,-,-,-,-,-,0.0
Los Lagos,Quemchi,8783,-,-,-,-,-,0.0
Los Lagos,Quinchao,8298,-,-,-,-,-,12.1
Los Lagos,Rio Negro,14275,-,-,-,-,-,7.0
Los Lagos,San Juan de la Costa,7639,-,-,-,7,11,144.0
Los Lagos,San Pablo,10553,-,-,-,-,6,56.9
Aisen,Aisen,25002,-,-,4,5,4,16.0
Aisen,Chile Chico,5121,-,-,-,-,-,19.5
Aisen,Cisnes,5828,-,-,-,-,-,0.0
Aisen,Cochrane,3685,-,-,-,-,-,0.0
Aisen,Coyhaique,61210,-,-,-,-,-,1.6
Aisen,Guaitecas,1599,-,-,-,-,-,0.0
Aisen,Lago Verde,920,-,-,-,-,-,0.0
Aisen,OHiggins,661,-,-,-,-,-,0.0
Aisen,Rio Ibanez,2699,-,-,-,-,-,0.0
Aisen,Tortel,572,-,-,-,-,-,174.8
Magallanes y la Antartica,Antartica,137,-,-,-,-,-,0.0
Magallanes y la Antartica,Cabo de Hornos,1983,5,6,6,10,11,554.7
Magallanes y la Antartica,Laguna Blanca,264,-,-,-,-,-,0.0
Magallanes y la Antartica,Natales,23782,-,4,5,5,5,21.0
Magallanes y la Antartica,Porvenir,7323,-,-,-,-,-,41.0
Magallanes y la Antartica,Primavera,694,-,-,-,-,-,0.0
Magallanes y la Antartica,Punta Arenas,141984,29,87,143,203,207,145.8
Magallanes y la Antartica,Rio Verde,211,-,-,-,-,-,0.0
Magallanes y la Antartica,San Gregorio,681,-,-,-,-,-,0.0
Magallanes y la Antartica,Timaukel,282,-,-,-,-,-,0.0
Magallanes y la Antartica,Torres del Paine,1021,-,-,-,-,-,0.0
