Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,Tasa
Nuble,16,Quillon,16107,18777,4,7,15,17,22,22,23,23,122.5
Nuble,16,Quirihue,16201,12192,-,-,-,-,4,4,4,2,16.4
Nuble,16,Ranquil,16206,6261,-,-,5,7,9,9,10,9,143.7
Nuble,16,San Carlos,16301,56252,8,13,13,19,28,29,31,31,55.1
Nuble,16,San Fabian,16304,4654,-,5,6,6,6,6,6,6,128.9
Nuble,16,San Ignacio,16108,16624,-,-,-,6,6,6,6,4,24.1
Nuble,16,San Nicolas,16305,12172,-,-,4,10,11,12,12,14,115.0
Nuble,16,Treguaco,16207,5696,-,-,-,-,-,-,-,-,0.0
Nuble,16,Yungay,16109,18596,-,7,10,26,37,38,42,42,225.9
Nuble,16,Total,,511551,162,259,370,474,561,589,618,634,123.9
,,,,,,,,,,,,,
Biobio,08,Alto Biobio,08314,6775,-,-,-,-,-,-,-,1,14.8
Biobio,08,Antuco,08302,4306,-,-,-,-,-,-,-,-,0.0
Biobio,08,Arauco,08202,38679,-,5,6,6,6,6,6,5,12.9
Biobio,08,Cabrero,08303,30725,-,-,-,-,-,4,7,8,26.0
Biobio,08,Canete,08203,37003,-,-,-,-,-,-,-,-,0.0
Biobio,08,Chiguayante,08103,91180,6,18,26,32,35,40,41,37,40.6
Biobio,08,Concepcion,08101,238092,28,47,53,70,73,81,92,130,54.6
Biobio,08,Contulmo,08204,6330,-,-,-,-,-,-,-,-,0.0
Biobio,08,Coronel,08102,125829,-,11,12,13,18,18,18,15,11.9
Biobio,08,Curanilahue,08205,33892,-,-,-,-,-,-,1,1,3.0
Biobio,08,Florida,08104,11841,-,-,-,-,-,-,2,4,33.8
Biobio,08,Hualpen,08112,97273,-,39,50,67,74,83,93,65,66.8
Biobio,08,Hualqui,08105,26201,-,-,-,7,7,7,8,9,34.3
Biobio,08,Laja,08304,23873,-,-,-,5,5,5,6,7,29.3
