Publicacion,Fecha,Total
Defunciones_2020-06-08,2020-05-22,69.0
Defunciones_2020-06-09,2020-05-22,69.0
Defunciones_2020-06-10,2020-05-22,69.0
Defunciones_2020-06-11,2020-05-22,69.0
Defunciones_2020-06-12,2020-05-22,69.0
Defunciones_2020-06-13,2020-05-22,69.0
Defunciones_2020-06-07,2020-05-23,83.0
Defunciones_2020-06-08,2020-05-23,83.0
Defunciones_2020-06-09,2020-05-23,83.0
Defunciones_2020-06-10,2020-05-23,84.0
Defunciones_2020-06-11,2020-05-23,84.0
Defunciones_2020-06-12,2020-05-23,84.0
Defunciones_2020-06-13,2020-05-23,85.0
Defunciones_2020-06-07,2020-05-24,89.0
Defunciones_2020-06-08,2020-05-24,91.0
Defunciones_2020-06-09,2020-05-24,92.0
Defunciones_2020-06-10,2020-05-24,92.0
Defunciones_2020-06-11,2020-05-24,93.0
Defunciones_2020-06-12,2020-05-24,93.0
Defunciones_2020-06-13,2020-05-24,94.0
Defunciones_2020-06-07,2020-05-25,79.0
Defunciones_2020-06-08,2020-05-25,82.0
Defunciones_2020-06-09,2020-05-25,83.0
Defunciones_2020-06-10,2020-05-25,85.0
Defunciones_2020-06-11,2020-05-25,85.0
Defunciones_2020-06-12,2020-05-25,85.0
Defunciones_2020-06-13,2020-05-25,85.0
Defunciones_2020-06-07,2020-05-26,101.0
Defunciones_2020-06-08,2020-05-26,101.0
Defunciones_2020-06-09,2020-05-26,101.0
Defunciones_2020-06-10,2020-05-26,101.0
Defunciones_2020-06-11,2020-05-26,101.0
Defunciones_2020-06-12,2020-05-26,102.0
Defunciones_2020-06-13,2020-05-26,102.0
Defunciones_2020-06-07,2020-05-27,104.0
Defunciones_2020-06-08,2020-05-27,105.0
Defunciones_2020-06-09,2020-05-27,105.0
Defunciones_2020-06-10,2020-05-27,105.0
Defunciones_2020-06-11,2020-05-27,111.0
Defunciones_2020-06-12,2020-05-27,111.0
Defunciones_2020-06-13,2020-05-27,113.0
Defunciones_2020-06-07,2020-05-28,102.0
Defunciones_2020-06-08,2020-05-28,106.0
Defunciones_2020-06-09,2020-05-28,106.0
Defunciones_2020-06-10,2020-05-28,107.0
Defunciones_2020-06-11,2020-05-28,109.0
Defunciones_2020-06-12,2020-05-28,109.0
Defunciones_2020-06-13,2020-05-28,110.0
Defunciones_2020-06-07,2020-05-29,94.0
Defunciones_2020-06-08,2020-05-29,97.0
Defunciones_2020-06-09,2020-05-29,101.0
Defunciones_2020-06-10,2020-05-29,107.0
Defunciones_2020-06-11,2020-05-29,117.0
