Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,Fecha,variable,value
Maule,7,Rauco,7305,309.0,11248.0,2020-03-27,IM_interno,0.01348973607038123
Maule,7,Rauco,7305,309.0,11248.0,2020-03-28,IM_interno,0.01994134897360704
Maule,7,Rauco,7305,309.0,11248.0,2020-03-29,IM_interno,0.015835777126099706
Maule,7,Rauco,7305,309.0,11248.0,2020-03-30,IM_interno,0.028739002932551317
Maule,7,Rauco,7305,309.0,11248.0,2020-03-31,IM_interno,0.021114369501466283
Maule,7,Rauco,7305,309.0,11248.0,2020-04-01,IM_interno,0.022287390029325515
Maule,7,Rauco,7305,309.0,11248.0,2020-04-02,IM_interno,0.01348973607038123
Maule,7,Rauco,7305,309.0,11248.0,2020-04-03,IM_interno,0.01994134897360704
Maule,7,Rauco,7305,309.0,11248.0,2020-04-04,IM_interno,0.02287390029325513
Maule,7,Rauco,7305,309.0,11248.0,2020-04-05,IM_interno,0.01818181818181818
Maule,7,Rauco,7305,309.0,11248.0,2020-04-06,IM_interno,0.0187683284457478
Maule,7,Rauco,7305,309.0,11248.0,2020-04-07,IM_interno,0.021114369501466283
Maule,7,Rauco,7305,309.0,11248.0,2020-04-08,IM_interno,0.02404692082111437
Maule,7,Rauco,7305,309.0,11248.0,2020-04-09,IM_interno,0.021700879765395892
Maule,7,Rauco,7305,309.0,11248.0,2020-04-10,IM_interno,0.002346041055718475
Maule,7,Rauco,7305,309.0,11248.0,2020-04-11,IM_interno,0.007624633431085044
Maule,7,Rauco,7305,309.0,11248.0,2020-04-12,IM_interno,0.0093841642228739
Maule,7,San Clemente,7109,4504.0,46292.0,2020-02-26,IM_interno,2.9352271335863844
Maule,7,San Clemente,7109,4504.0,46292.0,2020-02-27,IM_interno,2.9210236316885023
Maule,7,San Clemente,7109,4504.0,46292.0,2020-02-28,IM_interno,3.547202155014081
Maule,7,San Clemente,7109,4504.0,46292.0,2020-02-29,IM_interno,3.221868495163463
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-01,IM_interno,3.0374678584547565
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-02,IM_interno,2.8935961797477656
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-03,IM_interno,2.9175952001959105
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-04,IM_interno,2.8612709685318967
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-05,IM_interno,2.8825762213787187
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-06,IM_interno,3.659115954450839
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-07,IM_interno,3.453899840822824
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-08,IM_interno,2.921390963634137
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-09,IM_interno,2.936696461368924
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-10,IM_interno,2.8318844128811067
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-11,IM_interno,2.7480102852944777
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-12,IM_interno,2.8790253459042487
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-13,IM_interno,3.0504469205338562
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-14,IM_interno,2.9009428186604627
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-15,IM_interno,2.844128811068936
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-16,IM_interno,2.9522468470674665
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-17,IM_interno,2.7903759030243664
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-18,IM_interno,2.8752295824660217
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-19,IM_interno,2.7185012856618096
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-20,IM_interno,2.7811926043834947
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-21,IM_interno,2.7736010775070405
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-22,IM_interno,2.49430635484266
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-23,IM_interno,2.716787069915513
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-24,IM_interno,2.646504224317374
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-25,IM_interno,2.6858087425003063
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-26,IM_interno,2.6757683359862865
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-27,IM_interno,2.746296069548181
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-28,IM_interno,2.6725847924574513
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-29,IM_interno,2.445696094036978
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-30,IM_interno,2.701726460144484
Maule,7,San Clemente,7109,4504.0,46292.0,2020-03-31,IM_interno,2.7962532141545244
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-01,IM_interno,2.7989469817558468
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-02,IM_interno,2.6477286641361584
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-03,IM_interno,2.7351536671972574
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-04,IM_interno,2.8241704420227745
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-05,IM_interno,2.51291784008816
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-06,IM_interno,2.7292763560670994
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-07,IM_interno,2.7137259703685563
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-08,IM_interno,2.8814742255418144
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-09,IM_interno,2.696338924941839
Maule,7,San Clemente,7109,4504.0,46292.0,2020-04-10,IM_interno,2.250153054977348
