Region,Codigo region,Comuna,Codigo comuna,Superficie_km2,Poblacion,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Coquimbo,4.0,La Higuera,4104,4158.2,4450.0,4,3,4,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1
Coquimbo,4.0,La Serena,4101,1892.8,249656.0,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Coquimbo,4.0,Los Vilos,4203,1823.8,23374.0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4.0,Monte Patria,4303,4366.9,32527.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4.0,Ovalle,4301,3835,121269.0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4.0,Paiguano,4105,1495,4675.0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0
Coquimbo,4.0,Punitaqui,4304,1339,12165.0,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,1
Coquimbo,4.0,Río Hurtado,4305,2180,4372.0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4.0,Salamanca,4204,3445,29110.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,4.0,Vicuña,4106,7610,29741.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Angol,9201,1194.4,56058.0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Carahue,9102,1340.6,25486.0,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
La Araucanía,9.0,Cholchol,9121,427.9,12341.0,4,5,4,5,5,2,5,4,4,4,5,4,4,5,4,4,2,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
La Araucanía,9.0,Collipulli,9202,1295.9,26148.0,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
La Araucanía,9.0,Cunco,9103,1906.5,18055.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Curacautín,9203,1664,18178.0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Curarrehue,9104,1170.7,7802.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
La Araucanía,9.0,Ercilla,9204,499.7,8458.0,11,11,12,11,10,11,10,10,10,10,9,9,9,9,9,10,10,8,7,9,8,8,7,7,5,4,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,2,3,3
La Araucanía,9.0,Freire,9105,935.2,25446.0,10,10,11,10,10,9,9,8,8,10,9,8,8,8,8,8,10,8,7,7,6,6,5,6,5,4,5,4,4,4,5,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
La Araucanía,9.0,Galvarino,9106,568.2,12633.0,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2
La Araucanía,9.0,Gorbea,9107,694.5,15148.0,8,8,8,8,8,7,6,6,6,7,6,6,6,6,6,6,7,6,6,6,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
La Araucanía,9.0,Lautaro,9108,901.1,40746.0,5,5,5,4,4,5,4,4,4,4,4,3,4,4,4,4,5,4,3,4,3,3,3,3,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
La Araucanía,9.0,Loncoche,9109,976.8,24739.0,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1
La Araucanía,9.0,Lonquimay,9205,3914.2,11049.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9.0,Los Sauces,9206,849.8,7517.0,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2
La Araucanía,9.0,Lumaco,9207,1119,10050.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
La Araucanía,9.0,Melipeuco,9110,1107.3,6265.0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
