Año,Mes,Semana,Inicio_semana,Fin_semana,Cod_region_origen,Region_origen,Cod_region_destino,Region_destino,Origen,Destino,Operaciones,Pasajeros
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Osorno,12,1717
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,1,Tarapacá,Santiago,Pica,1,71
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,10,Los Lagos,Santiago,Puerto Montt,97,14916
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,12,Magallanes,Santiago,Punta Arenas,55,9901
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,9,Araucanía,Santiago,Temuco,70,10202
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,14,Los Ríos,Santiago,Valdivia,25,3513
2020,3,10,02-03-2020,08-03-2020,13,Metropolitana,12,Magallanes,Santiago,Puerto Natales,8,1296
2020,3,10,02-03-2020,08-03-2020,9,Araucanía,2,Antofagasta,Temuco,Antofagasta,2,231
2020,3,10,02-03-2020,08-03-2020,9,Araucanía,11,Aysén,Temuco,Balmaceda,2,230
2020,3,10,02-03-2020,08-03-2020,9,Araucanía,12,Magallanes,Temuco,Punta Arenas,2,296
2020,3,10,02-03-2020,08-03-2020,9,Araucanía,13,Metropolitana,Temuco,Santiago,70,11161
2020,3,10,02-03-2020,08-03-2020,14,Los Ríos,13,Metropolitana,Valdivia,Santiago,24,3515
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,12,Magallanes,Puerto Natales,Punta Arenas,3,34
2020,3,10,02-03-2020,08-03-2020,12,Magallanes,13,Metropolitana,Puerto Natales,Santiago,8,1226
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,15,Arica y Parinacota,Antofagasta,Arica,2,158
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,8,Biobío,Antofagasta,Concepción,9,1050
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,4,Coquimbo,Antofagasta,La Serena,13,1690
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,10,Los Lagos,Antofagasta,Puerto Montt,2,111
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,13,Metropolitana,Antofagasta,Santiago,115,16499
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,9,Araucanía,Antofagasta,Temuco,2,162
2020,3,11,09-03-2020,15-03-2020,15,Arica y Parinacota,2,Antofagasta,Arica,Antofagasta,2,177
2020,3,11,09-03-2020,15-03-2020,15,Arica y Parinacota,8,Biobío,Arica,Concepción,3,283
2020,3,11,09-03-2020,15-03-2020,15,Arica y Parinacota,4,Coquimbo,Arica,La Serena,2,237
2020,3,11,09-03-2020,15-03-2020,15,Arica y Parinacota,13,Metropolitana,Arica,Santiago,44,6954
2020,3,11,09-03-2020,15-03-2020,11,Aysén,8,Biobío,Balmaceda,Concepción,2,288
2020,3,11,09-03-2020,15-03-2020,11,Aysén,10,Los Lagos,Balmaceda,Puerto Montt,16,2579
2020,3,11,09-03-2020,15-03-2020,11,Aysén,12,Magallanes,Balmaceda,Punta Arenas,2,124
2020,3,11,09-03-2020,15-03-2020,11,Aysén,13,Metropolitana,Balmaceda,Santiago,34,3943
2020,3,11,09-03-2020,15-03-2020,11,Aysén,9,Araucanía,Balmaceda,Temuco,2,264
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,8,Biobío,Calama,Concepción,8,1136
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,4,Coquimbo,Calama,La Serena,9,1157
2020,3,11,09-03-2020,15-03-2020,2,Antofagasta,13,Metropolitana,Calama,Santiago,124,18686
2020,3,11,09-03-2020,15-03-2020,8,Biobío,2,Antofagasta,Concepción,Antofagasta,9,1189
2020,3,11,09-03-2020,15-03-2020,8,Biobío,15,Arica y Parinacota,Concepción,Arica,3,235
2020,3,11,09-03-2020,15-03-2020,8,Biobío,11,Aysén,Concepción,Balmaceda,2,190
2020,3,11,09-03-2020,15-03-2020,8,Biobío,2,Antofagasta,Concepción,Calama,8,1027
2020,3,11,09-03-2020,15-03-2020,8,Biobío,1,Tarapacá,Concepción,Iquique,9,1065
2020,3,11,09-03-2020,15-03-2020,8,Biobío,4,Coquimbo,Concepción,La Serena,2,183
2020,3,11,09-03-2020,15-03-2020,8,Biobío,12,Magallanes,Concepción,Punta Arenas,4,587
2020,3,11,09-03-2020,15-03-2020,8,Biobío,13,Metropolitana,Concepción,Santiago,80,12054
2020,3,11,09-03-2020,15-03-2020,3,Atacama,13,Metropolitana,Copiapó,Santiago,42,6163
2020,3,11,09-03-2020,15-03-2020,1,Tarapacá,8,Biobío,Iquique,Concepción,9,1036
2020,3,11,09-03-2020,15-03-2020,1,Tarapacá,4,Coquimbo,Iquique,La Serena,8,905
2020,3,11,09-03-2020,15-03-2020,1,Tarapacá,13,Metropolitana,Iquique,Santiago,93,14433
2020,3,11,09-03-2020,15-03-2020,5,Valparaíso,13,Metropolitana,Isla de Pascua,Santiago,12,3223
