Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE9,SE10,SE11,SE12,SE13,SE14,SE15
Los Ríos,14,Mariquina,14106,23250.0,-,-,-,2,-,4,2
Los Ríos,14,Paillaco,14107,20798.0,-,-,-,1,-,-,-
Los Ríos,14,Panguipulli,14108,35991.0,-,-,-,1,-,1,-
Los Ríos,14,Rio Bueno,14204,32925.0,-,-,-,4,2,4,-
Los Ríos,14,Valdivia,14101,176774.0,-,2,1,26,31,21,7
Los Lagos,10,Ancud,10202,42458.0,-,-,-,-,-,-,3
Los Lagos,10,Calbuco,10102,36744.0,-,-,1,3,1,2,-
Los Lagos,10,Castro,10201,47607.0,-,-,-,2,-,5,-
Los Lagos,10,Chaiten,10401,5020.0,-,-,-,-,1,-,-
Los Lagos,10,Chonchi,10203,16013.0,-,-,-,-,-,-,-
Los Lagos,10,Cochamo,10103,4006.0,-,-,-,-,-,-,-
Los Lagos,10,Curaco de Velez,10204,4066.0,-,-,-,-,-,-,-
Los Lagos,10,Dalcahue,10205,15069.0,-,-,-,-,-,-,-
Los Lagos,10,Fresia,10104,12656.0,-,-,-,-,-,-,-
Los Lagos,10,Frutillar,10105,20223.0,-,-,-,-,1,3,1
Los Lagos,10,Futaleufu,10402,2806.0,-,-,-,-,-,-,-
Los Lagos,10,Hualaihue,10403,9525.0,-,-,-,-,3,-,-
Los Lagos,10,Llanquihue,10107,18621.0,-,-,1,-,1,1,-
Los Lagos,10,Los Muermos,10106,17817.0,-,-,-,1,-,-,-
Los Lagos,10,Maullin,10108,14894.0,-,-,-,-,-,-,1
Los Lagos,10,Osorno,10301,173410.0,-,-,3,56,106,51,16
Los Lagos,10,Palena,10404,1827.0,-,-,-,-,-,-,-
Los Lagos,10,Puerto Montt,10101,269398.0,-,1,11,25,20,11,-
Los Lagos,10,Puerto Octay,10302,9192.0,-,-,-,1,-,-,-
Los Lagos,10,Puerto Varas,10109,48620.0,-,-,1,-,1,2,2
Los Lagos,10,Puqueldon,10206,4201.0,-,-,-,-,-,-,-
Los Lagos,10,Purranque,10303,21080.0,-,-,-,-,3,10,3
Los Lagos,10,Puyehue,10304,11787.0,-,-,-,1,-,1,-
Los Lagos,10,Queilen,10207,5543.0,-,-,-,-,-,-,-
Los Lagos,10,Quellon,10208,29309.0,-,-,-,-,-,-,-
Los Lagos,10,Quemchi,10209,8783.0,-,-,-,-,-,-,-
Los Lagos,10,Quinchao,10210,8298.0,-,-,-,-,1,-,-
