Region,Codigo region,Comuna,Codigo comuna,Poblacion,Publicacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19
Metropolitana,13.0,Huechuraba,13107.0,112528.0,2020-04-21,0.0,0.0,0.0,0.0,4.0,18.0,7.0,15.0,12.0,10.0,0.0,0.0,0.0
Metropolitana,13.0,Independencia,13108.0,142065.0,2020-04-21,0.0,0.0,0.0,0.0,3.0,13.0,8.0,20.0,28.0,43.0,0.0,0.0,0.0
Metropolitana,13.0,Isla de Maipo,13603.0,40171.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0
Metropolitana,13.0,La Cisterna,13109.0,100434.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,10.0,8.0,12.0,19.0,12.0,0.0,0.0,0.0
Metropolitana,13.0,La Florida,13110.0,402433.0,2020-04-21,0.0,0.0,0.0,2.0,12.0,27.0,54.0,53.0,52.0,31.0,0.0,0.0,0.0
Metropolitana,13.0,La Granja,13111.0,122557.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,6.0,13.0,23.0,15.0,11.0,0.0,0.0,0.0
Metropolitana,13.0,La Pintana,13112.0,189335.0,2020-04-21,0.0,0.0,0.0,0.0,3.0,5.0,16.0,25.0,32.0,26.0,0.0,0.0,0.0
Metropolitana,13.0,La Reina,13113.0,100252.0,2020-04-21,0.0,0.0,1.0,0.0,12.0,14.0,11.0,14.0,6.0,4.0,0.0,0.0,0.0
Metropolitana,13.0,Lampa,13302.0,126898.0,2020-04-21,0.0,0.0,0.0,0.0,0.0,8.0,14.0,13.0,9.0,4.0,0.0,0.0,0.0
Metropolitana,13.0,Las Condes,13114.0,330759.0,2020-04-21,0.0,1.0,0.0,6.0,61.0,120.0,64.0,36.0,25.0,13.0,0.0,0.0,0.0
Metropolitana,13.0,Lo Barnechea,13115.0,124076.0,2020-04-21,0.0,0.0,0.0,2.0,14.0,51.0,25.0,16.0,30.0,19.0,0.0,0.0,0.0
Metropolitana,13.0,Lo Espejo,13116.0,103865.0,2020-04-21,0.0,0.0,0.0,0.0,1.0,4.0,7.0,23.0,24.0,8.0,0.0,0.0,0.0
Metropolitana,13.0,Lo Prado,13117.0,104403.0,2020-04-21,0.0,0.0,0.0,1.0,2.0,5.0,19.0,12.0,20.0,16.0,0.0,0.0,0.0
Metropolitana,13.0,Macul,13118.0,134635.0,2020-04-21,0.0,0.0,0.0,1.0,3.0,11.0,21.0,12.0,9.0,7.0,0.0,0.0,0.0
Metropolitana,13.0,Maipu,13119.0,578605.0,2020-04-21,0.0,0.0,0.0,0.0,13.0,45.0,65.0,70.0,69.0,50.0,0.0,0.0,0.0
