Codigo region,Codigo comuna,Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
3,3101.0,171766,8,2020/04/10,3,Atacama,31,Copiapó,3101,Copiapó,4.657499155828278
3,3101.0,171766,5,2020/04/08,3,Atacama,31,Copiapó,3101,Copiapó,2.910936972392674
3,3101.0,171766,4,2020/04/03,3,Atacama,31,Copiapó,3101,Copiapó,2.328749577914139
3,3101.0,171766,4,2020/04/06,3,Atacama,31,Copiapó,3101,Copiapó,2.328749577914139
3,3101.0,171766,-,2020/03/30,3,Atacama,31,Copiapó,3101,Copiapó,-
3,3202.0,14358,-,2020/04/01,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
3,3202.0,14358,-,2020/04/10,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
3,3202.0,14358,-,2020/04/08,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
3,3202.0,14358,-,2020/04/03,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
3,3202.0,14358,-,2020/04/06,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
3,3202.0,14358,-,2020/03/30,3,Atacama,32,Chañaral,3202,Diego de Almagro,-
3,3303.0,7681,-,2020/04/01,3,Atacama,33,Huasco,3303,Freirina,-
3,3303.0,7681,-,2020/04/10,3,Atacama,33,Huasco,3303,Freirina,-
3,3303.0,7681,-,2020/04/08,3,Atacama,33,Huasco,3303,Freirina,-
3,3303.0,7681,-,2020/04/03,3,Atacama,33,Huasco,3303,Freirina,-
3,3303.0,7681,-,2020/04/06,3,Atacama,33,Huasco,3303,Freirina,-
3,3303.0,7681,-,2020/03/30,3,Atacama,33,Huasco,3303,Freirina,-
3,3304.0,11264,-,2020/04/01,3,Atacama,33,Huasco,3304,Huasco,-
3,3304.0,11264,-,2020/04/10,3,Atacama,33,Huasco,3304,Huasco,-
3,3304.0,11264,-,2020/04/08,3,Atacama,33,Huasco,3304,Huasco,-
3,3304.0,11264,-,2020/04/03,3,Atacama,33,Huasco,3304,Huasco,-
3,3304.0,11264,-,2020/04/06,3,Atacama,33,Huasco,3304,Huasco,-
3,3304.0,11264,-,2020/03/30,3,Atacama,33,Huasco,3304,Huasco,-
3,3103.0,14312,-,2020/04/01,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
3,3103.0,14312,4,2020/04/10,3,Atacama,31,Copiapó,3103,Tierra Amarilla,27.94857462269424
3,3103.0,14312,-,2020/04/08,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
3,3103.0,14312,-,2020/04/03,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
3,3103.0,14312,-,2020/04/06,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
3,3103.0,14312,-,2020/03/30,3,Atacama,31,Copiapó,3103,Tierra Amarilla,-
