Poblacion,Casos Confirmados,Fecha,Region ID,Region,Provincia ID,Provincia,Comuna ID,Comuna,Tasa
11791,-,2020/04/03,4,Coquimbo,41,Elqui,4103,Andacollo,-
11791,-,2020/04/06,4,Coquimbo,41,Elqui,4103,Andacollo,-
11791,-,2020/03/30,4,Coquimbo,41,Elqui,4103,Andacollo,-
9546,-,2020/04/01,4,Coquimbo,42,Choapa,4202,Canela,-
9546,-,2020/04/10,4,Coquimbo,42,Choapa,4202,Canela,-
9546,-,2020/04/08,4,Coquimbo,42,Choapa,4202,Canela,-
9546,-,2020/04/03,4,Coquimbo,42,Choapa,4202,Canela,-
9546,-,2020/04/06,4,Coquimbo,42,Choapa,4202,Canela,-
9546,-,2020/03/30,4,Coquimbo,42,Choapa,4202,Canela,-
13884,-,2020/04/01,4,Coquimbo,43,Limarí,4302,Combarbalá,-
13884,-,2020/04/10,4,Coquimbo,43,Limarí,4302,Combarbalá,-
13884,-,2020/04/08,4,Coquimbo,43,Limarí,4302,Combarbalá,-
13884,-,2020/04/03,4,Coquimbo,43,Limarí,4302,Combarbalá,-
13884,-,2020/04/06,4,Coquimbo,43,Limarí,4302,Combarbalá,-
13884,-,2020/03/30,4,Coquimbo,43,Limarí,4302,Combarbalá,-
256735,19,2020/04/01,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
256735,21,2020/04/10,4,Coquimbo,41,Elqui,4102,Coquimbo,8.179640485325335
256735,19,2020/04/08,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
256735,19,2020/04/03,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
256735,19,2020/04/06,4,Coquimbo,41,Elqui,4102,Coquimbo,7.400627105770542
256735,17,2020/03/30,4,Coquimbo,41,Elqui,4102,Coquimbo,6.621613726215748
32801,-,2020/04/01,4,Coquimbo,42,Choapa,4201,Illapel,-
32801,13,2020/04/10,4,Coquimbo,42,Choapa,4201,Illapel,39.63293802018231
32801,12,2020/04/08,4,Coquimbo,42,Choapa,4201,Illapel,36.584250480168286
32801,-,2020/04/03,4,Coquimbo,42,Choapa,4201,Illapel,-
32801,7,2020/04/06,4,Coquimbo,42,Choapa,4201,Illapel,21.34081278009817
32801,-,2020/03/30,4,Coquimbo,42,Choapa,4201,Illapel,-
4450,-,2020/04/01,4,Coquimbo,41,Elqui,4104,La Higuera,-
4450,-,2020/04/10,4,Coquimbo,41,Elqui,4104,La Higuera,-
4450,-,2020/04/08,4,Coquimbo,41,Elqui,4104,La Higuera,-
4450,-,2020/04/03,4,Coquimbo,41,Elqui,4104,La Higuera,-
4450,-,2020/04/06,4,Coquimbo,41,Elqui,4104,La Higuera,-
4450,-,2020/03/30,4,Coquimbo,41,Elqui,4104,La Higuera,-
249656,-,2020/04/01,4,Coquimbo,41,Elqui,4101,La Serena,-
249656,12,2020/04/10,4,Coquimbo,41,Elqui,4101,La Serena,4.806613900727401
249656,12,2020/04/08,4,Coquimbo,41,Elqui,4101,La Serena,4.806613900727401
249656,8,2020/04/03,4,Coquimbo,41,Elqui,4101,La Serena,3.2044092671516005
249656,12,2020/04/06,4,Coquimbo,41,Elqui,4101,La Serena,4.806613900727401
249656,-,2020/03/30,4,Coquimbo,41,Elqui,4101,La Serena,-
23374,-,2020/04/01,4,Coquimbo,42,Choapa,4203,Los Vilos,-
23374,-,2020/04/10,4,Coquimbo,42,Choapa,4203,Los Vilos,-
23374,-,2020/04/08,4,Coquimbo,42,Choapa,4203,Los Vilos,-
23374,-,2020/04/03,4,Coquimbo,42,Choapa,4203,Los Vilos,-
23374,-,2020/04/06,4,Coquimbo,42,Choapa,4203,Los Vilos,-
23374,-,2020/03/30,4,Coquimbo,42,Choapa,4203,Los Vilos,-
32527,-,2020/04/01,4,Coquimbo,43,Limarí,4303,Monte Patria,-
32527,-,2020/04/10,4,Coquimbo,43,Limarí,4303,Monte Patria,-
32527,-,2020/04/08,4,Coquimbo,43,Limarí,4303,Monte Patria,-
32527,-,2020/04/03,4,Coquimbo,43,Limarí,4303,Monte Patria,-
32527,-,2020/04/06,4,Coquimbo,43,Limarí,4303,Monte Patria,-
32527,-,2020/03/30,4,Coquimbo,43,Limarí,4303,Monte Patria,-
121269,4,2020/04/01,4,Coquimbo,43,Limarí,4301,Ovalle,3.2984522013045376
121269,8,2020/04/10,4,Coquimbo,43,Limarí,4301,Ovalle,6.596904402609075
121269,7,2020/04/08,4,Coquimbo,43,Limarí,4301,Ovalle,5.7722913522829415
121269,4,2020/04/03,4,Coquimbo,43,Limarí,4301,Ovalle,3.2984522013045376
121269,7,2020/04/06,4,Coquimbo,43,Limarí,4301,Ovalle,5.7722913522829415
121269,4,2020/03/30,4,Coquimbo,43,Limarí,4301,Ovalle,3.2984522013045376
4675,-,2020/04/01,4,Coquimbo,41,Elqui,4105,Paiguano,-
4675,-,2020/04/10,4,Coquimbo,41,Elqui,4105,Paiguano,-
4675,-,2020/04/08,4,Coquimbo,41,Elqui,4105,Paiguano,-
4675,-,2020/04/03,4,Coquimbo,41,Elqui,4105,Paiguano,-
4675,-,2020/04/06,4,Coquimbo,41,Elqui,4105,Paiguano,-
4675,-,2020/03/30,4,Coquimbo,41,Elqui,4105,Paiguano,-
12165,-,2020/04/01,4,Coquimbo,43,Limarí,4304,Punitaqui,-
12165,-,2020/04/10,4,Coquimbo,43,Limarí,4304,Punitaqui,-
12165,-,2020/04/08,4,Coquimbo,43,Limarí,4304,Punitaqui,-
12165,-,2020/04/03,4,Coquimbo,43,Limarí,4304,Punitaqui,-
12165,-,2020/04/06,4,Coquimbo,43,Limarí,4304,Punitaqui,-
12165,-,2020/03/30,4,Coquimbo,43,Limarí,4304,Punitaqui,-
4372,-,2020/04/01,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4372,-,2020/04/10,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4372,-,2020/04/08,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4372,-,2020/04/03,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4372,-,2020/04/06,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
4372,-,2020/03/30,4,Coquimbo,43,Limarí,4305,Río Hurtado,-
29110,-,2020/04/01,4,Coquimbo,42,Choapa,4204,Salamanca,-
29110,5,2020/04/10,4,Coquimbo,42,Choapa,4204,Salamanca,17.17622810030917
29110,4,2020/04/08,4,Coquimbo,42,Choapa,4204,Salamanca,13.740982480247338
29110,-,2020/04/03,4,Coquimbo,42,Choapa,4204,Salamanca,-
29110,4,2020/04/06,4,Coquimbo,42,Choapa,4204,Salamanca,13.740982480247338
29110,-,2020/03/30,4,Coquimbo,42,Choapa,4204,Salamanca,-
29741,-,2020/04/01,4,Coquimbo,41,Elqui,4106,Vicuña,-
29741,-,2020/04/10,4,Coquimbo,41,Elqui,4106,Vicuña,-
29741,-,2020/04/08,4,Coquimbo,41,Elqui,4106,Vicuña,-
29741,-,2020/04/03,4,Coquimbo,41,Elqui,4106,Vicuña,-
29741,-,2020/04/06,4,Coquimbo,41,Elqui,4106,Vicuña,-
29741,-,2020/03/30,4,Coquimbo,41,Elqui,4106,Vicuña,-
15174,7,2020/04/01,5,Valparaíso,56,San Antonio,5602,Algarrobo,46.1315407934625
15174,8,2020/04/10,5,Valparaíso,56,San Antonio,5602,Algarrobo,52.72176090681429
15174,8,2020/04/08,5,Valparaíso,56,San Antonio,5602,Algarrobo,52.72176090681429
15174,9,2020/04/03,5,Valparaíso,56,San Antonio,5602,Algarrobo,59.31198102016607
15174,9,2020/04/06,5,Valparaíso,56,San Antonio,5602,Algarrobo,59.31198102016607
15174,7,2020/03/30,5,Valparaíso,56,San Antonio,5602,Algarrobo,46.1315407934625
20663,-,2020/04/01,5,Valparaíso,54,Petorca,5402,Cabildo,-
20663,-,2020/04/10,5,Valparaíso,54,Petorca,5402,Cabildo,-
20663,-,2020/04/08,5,Valparaíso,54,Petorca,5402,Cabildo,-
20663,-,2020/04/03,5,Valparaíso,54,Petorca,5402,Cabildo,-
20663,-,2020/04/06,5,Valparaíso,54,Petorca,5402,Cabildo,-
20663,-,2020/03/30,5,Valparaíso,54,Petorca,5402,Cabildo,-
53591,6,2020/04/01,5,Valparaíso,55,Quillota,5502,Calera,11.195909760967327
53591,9,2020/04/10,5,Valparaíso,55,Quillota,5502,Calera,16.79386464145099
53591,9,2020/04/08,5,Valparaíso,55,Quillota,5502,Calera,16.79386464145099
53591,7,2020/04/03,5,Valparaíso,55,Quillota,5502,Calera,13.061894721128548
53591,7,2020/04/06,5,Valparaíso,55,Quillota,5502,Calera,13.061894721128548
53591,6,2020/03/30,5,Valparaíso,55,Quillota,5502,Calera,11.195909760967327
