Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos activos
Los Lagos,10,Puyehue,10304,11787.0,2020-04-13,1.0
Los Lagos,10,Queilen,10207,5543.0,2020-04-13,0.0
Los Lagos,10,Quellon,10208,29309.0,2020-04-13,0.0
Los Lagos,10,Quemchi,10209,8783.0,2020-04-13,0.0
Los Lagos,10,Quinchao,10210,8298.0,2020-04-13,0.0
Los Lagos,10,Rio Negro,10305,14275.0,2020-04-13,2.0
Los Lagos,10,San Juan de la Costa,10306,7639.0,2020-04-13,13.0
Los Lagos,10,San Pablo,10307,10553.0,2020-04-13,4.0
Los Lagos,10,Total,,891440.0,2020-04-13,127.0
Aysen,11,Aysen,11201,25002.0,2020-04-13,1.0
Aysen,11,Chile Chico,11401,5121.0,2020-04-13,1.0
Aysen,11,Cisnes,11202,5828.0,2020-04-13,0.0
Aysen,11,Cochrane,11301,3685.0,2020-04-13,0.0
Aysen,11,Coyhaique,11101,61210.0,2020-04-13,0.0
Aysen,11,Guaitecas,11203,1599.0,2020-04-13,0.0
Aysen,11,Lago Verde,11102,920.0,2020-04-13,0.0
Aysen,11,OHiggins,11302,661.0,2020-04-13,0.0
Aysen,11,Rio Ibanez,11402,2699.0,2020-04-13,0.0
Aysen,11,Tortel,11303,572.0,2020-04-13,0.0
Aysen,11,Total,,107297.0,2020-04-13,2.0
Magallanes y la Antartica,12,Antartica,12202,137.0,2020-04-13,0.0
Magallanes y la Antartica,12,Cabo de Hornos,12201,1983.0,2020-04-13,3.0
Magallanes y la Antartica,12,Laguna Blanca,12102,264.0,2020-04-13,0.0
Magallanes y la Antartica,12,Natales,12401,23782.0,2020-04-13,1.0
Magallanes y la Antartica,12,Porvenir,12301,7323.0,2020-04-13,1.0
Magallanes y la Antartica,12,Primavera,12302,694.0,2020-04-13,0.0
Magallanes y la Antartica,12,Punta Arenas,12101,141984.0,2020-04-13,207.0
Magallanes y la Antartica,12,Rio Verde,12103,211.0,2020-04-13,0.0
Magallanes y la Antartica,12,San Gregorio,12104,681.0,2020-04-13,0.0
Magallanes y la Antartica,12,Timaukel,12303,282.0,2020-04-13,0.0
Magallanes y la Antartica,12,Torres del Paine,12402,1021.0,2020-04-13,0.0
Magallanes y la Antartica,,Total,,178362.0,2020-04-13,212.0
Arica y Parinacota,15,Arica,15101,247552.0,2020-04-15,80.0
Arica y Parinacota,15,Camarones,15102,1233.0,2020-04-15,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,2020-04-15,0.0
Arica y Parinacota,15,Putre,15201,2515.0,2020-04-15,0.0
Arica y Parinacota,15,Total,,252110.0,2020-04-15,80.0
Tarapaca,01,Alto Hospicio,01107,129999.0,2020-04-15,8.0
Tarapaca,01,Camina,01402,1375.0,2020-04-15,0.0
Tarapaca,01,Colchane,01403,1583.0,2020-04-15,0.0
Tarapaca,01,Huara,01404,3000.0,2020-04-15,0.0
Tarapaca,01,Iquique,01101,223463.0,2020-04-15,8.0
Tarapaca,01,Pica,01405,5958.0,2020-04-15,17.0
Tarapaca,01,Pozo Almonte,01401,17395.0,2020-04-15,2.0
Tarapaca,01,Total,,382773.0,2020-04-15,35.0
Antofagasta,02,Antofagasta,02101,425725.0,2020-04-15,54.0
Antofagasta,02,Calama,02201,190336.0,2020-04-15,11.0
Antofagasta,02,Maria Elena,02302,6814.0,2020-04-15,2.0
Antofagasta,02,Mejillones,02102,14776.0,2020-04-15,13.0
Antofagasta,02,Ollague,02202,287.0,2020-04-15,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,2020-04-15,0.0
Antofagasta,02,Sierra Gorda,02103,1746.0,2020-04-15,0.0
Antofagasta,02,Taltal,02104,13657.0,2020-04-15,5.0
Antofagasta,02,Tocopilla,02301,28079.0,2020-04-15,3.0
Antofagasta,02,Total,,691854.0,2020-04-15,88.0
Atacama,03,Alto del Carmen,03302,5729.0,2020-04-15,0.0
Atacama,03,Caldera,03102,19426.0,2020-04-15,0.0
Atacama,03,Chanaral,03201,13164.0,2020-04-15,0.0
Atacama,03,Copiapo,03101,171766.0,2020-04-15,5.0
Atacama,03,Diego de Almagro,03202,14358.0,2020-04-15,0.0
Atacama,03,Freirina,03303,7681.0,2020-04-15,0.0
Atacama,03,Huasco,03304,11264.0,2020-04-15,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,2020-04-15,4.0
Atacama,03,Vallenar,03301,57009.0,2020-04-15,0.0
Atacama,03,Total,,314709.0,2020-04-15,9.0
Coquimbo,04,Andacollo,04103,11791.0,2020-04-15,0.0
Coquimbo,04,Canela,04202,9546.0,2020-04-15,0.0
Coquimbo,04,Combarbala,04302,13884.0,2020-04-15,0.0
Coquimbo,04,Coquimbo,04102,256735.0,2020-04-15,2.0
Coquimbo,04,Illapel,04201,32801.0,2020-04-15,12.0
Coquimbo,04,La Higuera,04104,4450.0,2020-04-15,0.0
Coquimbo,04,La Serena,04101,249656.0,2020-04-15,1.0
