,Fecha,Origen,Destino,Viajes
520,2020-03-01,Lo Prado,La Granja,24
521,2020-03-01,Lo Prado,La Pintana,57
522,2020-03-01,Lo Prado,La Reina,418
523,2020-03-01,Lo Prado,Las Condes,1877
524,2020-03-01,Lo Prado,Lo Barnechea,127
525,2020-03-01,Lo Prado,Lo Espejo,49
526,2020-03-01,Lo Prado,Lo Prado,6758
527,2020-03-01,Lo Prado,Macul,183
528,2020-03-01,Lo Prado,Maipu,2959
529,2020-03-01,Lo Prado,Nunoa,940
530,2020-03-01,Lo Prado,Pedro Aguirre Cerda,135
531,2020-03-01,Lo Prado,Penalolen,320
532,2020-03-01,Lo Prado,Providencia,3108
533,2020-03-01,Lo Prado,Pudahuel,2961
534,2020-03-01,Lo Prado,Puente Alto,506
535,2020-03-01,Lo Prado,Quilicura,235
536,2020-03-01,Lo Prado,Quinta Normal,860
537,2020-03-01,Lo Prado,Recoleta,981
538,2020-03-01,Lo Prado,Renca,241
539,2020-03-01,Lo Prado,San Bernardo,218
540,2020-03-01,Lo Prado,San Joaquin,172
541,2020-03-01,Lo Prado,San Miguel,509
542,2020-03-01,Lo Prado,San Ramon,138
543,2020-03-01,Lo Prado,Santiago,7061
544,2020-03-01,Lo Prado,Vitacura,178
545,2020-03-01,Macul,Cerrillos,91
546,2020-03-01,Macul,Cerro Navia,65
547,2020-03-01,Macul,Conchali,63
548,2020-03-01,Macul,El Bosque,20
549,2020-03-01,Macul,Estacion Central,421
550,2020-03-01,Macul,Huechuraba,18
551,2020-03-01,Macul,Independencia,161
552,2020-03-01,Macul,La Cisterna,112
553,2020-03-01,Macul,La Florida,1915
554,2020-03-01,Macul,La Granja,40
555,2020-03-01,Macul,La Pintana,77
556,2020-03-01,Macul,La Reina,196
557,2020-03-01,Macul,Las Condes,428
558,2020-03-01,Macul,Lo Barnechea,43
559,2020-03-01,Macul,Lo Espejo,34
560,2020-03-01,Macul,Lo Prado,206
561,2020-03-01,Macul,Macul,1777
562,2020-03-01,Macul,Maipu,181
563,2020-03-01,Macul,Nunoa,1613
564,2020-03-01,Macul,Pedro Aguirre Cerda,158
565,2020-03-01,Macul,Penalolen,628
566,2020-03-01,Macul,Providencia,1040
567,2020-03-01,Macul,Pudahuel,148
568,2020-03-01,Macul,Puente Alto,550
569,2020-03-01,Macul,Quilicura,88
570,2020-03-01,Macul,Quinta Normal,109
571,2020-03-01,Macul,Recoleta,184
572,2020-03-01,Macul,Renca,32
573,2020-03-01,Macul,San Bernardo,78
574,2020-03-01,Macul,San Joaquin,537
575,2020-03-01,Macul,San Miguel,230
576,2020-03-01,Macul,San Ramon,79
577,2020-03-01,Macul,Santiago,1975
578,2020-03-01,Macul,Vitacura,48
579,2020-03-01,Maipu,Cerrillos,2604
580,2020-03-01,Maipu,Cerro Navia,471
581,2020-03-01,Maipu,Conchali,182
