Region,Codigo region,Comuna,Codigo comuna,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12
Coquimbo,4,Vicuña,4106,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Angol,9201,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Carahue,9102,3,3,3,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
La Araucanía,9,Cholchol,9121,4,5,4,5,5,2,5,4,4,4,5,4,4,5,4,4,2,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
La Araucanía,9,Collipulli,9202,3,3,3,3,2,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
La Araucanía,9,Cunco,9103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Curacautín,9203,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Curarrehue,9104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
La Araucanía,9,Ercilla,9204,11,11,12,11,10,11,10,10,10,10,9,9,9,9,9,10,10,8,7,9,8,8,7,7,5,4,5,5,5,5,5,4,3,5,5,5,5,5,4,3,5,5,5,5,2,3,3
La Araucanía,9,Freire,9105,10,10,11,10,10,9,9,8,8,10,9,8,8,8,8,8,10,8,7,7,6,6,5,6,5,4,5,4,4,4,5,4,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
La Araucanía,9,Galvarino,9106,2,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2
La Araucanía,9,Gorbea,9107,8,8,8,8,8,7,6,6,6,7,6,6,6,6,6,6,7,6,6,6,5,5,5,5,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3
La Araucanía,9,Lautaro,9108,5,5,5,4,4,5,4,4,4,4,4,3,4,4,4,4,5,4,3,4,3,3,3,3,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
La Araucanía,9,Loncoche,9109,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,1,1,1,2,1,1,1,1,1
La Araucanía,9,Lonquimay,9205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Los Sauces,9206,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,3,3,1,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2
La Araucanía,9,Lumaco,9207,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1
La Araucanía,9,Melipeuco,9110,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Nueva Imperial,9111,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
La Araucanía,9,Padre Las Casas,9112,5,5,6,5,4,5,5,5,5,5,4,4,5,5,5,5,5,4,3,4,4,4,3,3,3,2,3,3,3,3,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
La Araucanía,9,Perquenco,9113,15,15,16,14,13,14,12,11,12,13,12,10,12,11,11,11,14,11,10,11,10,10,9,9,7,5,6,6,6,6,7,5,3,5,6,6,6,6,5,4,6,6,7,6,3,3,3
La Araucanía,9,Pitrufquén,9114,6,6,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,4,4,3,3,3,2,3,2,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,2,2,1
La Araucanía,9,Pucón,9115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Araucanía,9,Purén,9208,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1
