Region,Codigo region,Comuna,Codigo comuna,Poblacion,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,Tasa
Araucanía,9.0,Los Sauces,9206.0,7517.0,-,-,-,-,-,-,-,0.0
Araucanía,9.0,Lumaco,9207.0,10050.0,-,-,-,-,-,-,-,0.0
Araucanía,9.0,Melipeuco,9110.0,6265.0,-,-,-,-,-,-,-,0.0
Araucanía,9.0,Nueva Imperial,9111.0,33777.0,-,-,11,16,20,22,25,74.0
Araucanía,9.0,Padre Las Casas,9112.0,82110.0,9,14,33,44,49,49,49,59.7
Araucanía,9.0,Perquenco,9113.0,7223.0,-,-,-,-,-,-,3,41.5
Araucanía,9.0,Pitrufquen,9114.0,26096.0,4,6,7,11,12,12,16,61.3
Araucanía,9.0,Pucon,9115.0,29782.0,-,-,-,4,5,5,5,16.8
Araucanía,9.0,Puren,9208.0,12188.0,-,-,-,-,-,-,2,16.4
Araucanía,9.0,Renaico,9209.0,10833.0,-,-,-,-,-,-,2,18.5
Araucanía,9.0,Saavedra,9116.0,12793.0,-,-,-,-,-,-,1,7.8
Araucanía,9.0,Temuco,9101.0,302931.0,154,225,293,365,407,443,471,155.5
Araucanía,9.0,Teodoro Schmidt,9117.0,15786.0,-,4,-,-,-,4,5,31.7
Araucanía,9.0,Tolten,9118.0,10055.0,-,-,4,5,7,7,7,69.6
Araucanía,9.0,Traiguen,9210.0,19314.0,-,-,-,-,-,-,2,10.4
Araucanía,9.0,Victoria,9211.0,35467.0,5,7,11,12,15,15,15,42.3
Araucanía,9.0,Vilcun,9119.0,30766.0,4,5,11,18,20,20,24,78.0
Araucanía,9.0,Villarrica,9120.0,59103.0,,4,6,11,15,15,18,30.5
Los Ríos,14.0,Corral,14102.0,5447.0,-,-,-,-,-,-,-,0.0
Los Ríos,14.0,Futrono,14202.0,15261.0,-,-,-,5,5,5,5,32.8
Los Ríos,14.0,La Union,14201.0,39538.0,-,9,10,17,18,18,18,45.5
Los Ríos,14.0,Lago Ranco,14203.0,10292.0,-,-,-,-,-,-,2,19.4
Los Ríos,14.0,Lanco,14103.0,17652.0,-,-,-,-,-,-,2,11.3
Los Ríos,14.0,Los Lagos,14104.0,20518.0,-,-,-,-,-,-,-,0.0
Los Ríos,14.0,Mafil,14105.0,7389.0,-,-,-,-,-,-,1,13.5
Los Ríos,14.0,Mariquina,14106.0,23250.0,-,-,-,6,8,8,8,34.4
Los Ríos,14.0,Paillaco,14107.0,20798.0,-,-,-,-,-,-,1,4.8
Los Ríos,14.0,Panguipulli,14108.0,35991.0,-,-,-,-,-,-,2,5.6
Los Ríos,14.0,Rio Bueno,14204.0,32925.0,-,-,-,5,5,5,10,30.4
Los Ríos,14.0,Valdivia,14101.0,176774.0,12,45,47,65,72,82,88,49.8
Los Lagos,10.0,Ancud,10202.0,42458.0,-,-,-,-,-,-,3,7.1
Los Lagos,10.0,Calbuco,10102.0,36744.0,4,5,5,5,5,5,7,19.1
Los Lagos,10.0,Castro,10201.0,47607.0,-,-,-,4,6,7,7,14.7
Los Lagos,10.0,Chaiten,10401.0,5020.0,-,-,-,-,-,-,1,19.9
Los Lagos,10.0,Chonchi,10203.0,16013.0,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Cochamo,10103.0,4006.0,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Curaco de Velez,10204.0,4066.0,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Dalcahue,10205.0,15069.0,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Fresia,10104.0,12656.0,-,-,-,-,-,-,-,0.0
Los Lagos,10.0,Frutillar,10105.0,20223.0,-,-,-,-,-,-,5,24.7
Los Lagos,10.0,Futaleufu,10402.0,2806.0,-,-,-,-,-,-,-,0.0
